Name;URL;Description;Category;Attack Type;Encryption Type;noteworthy
basiciw;https://github.com/enkore/basiciw/;Retrieve information such as ESSID or signal quality from wireless cards (Python module);InfoGath;;;
BoopSuite;https://github.com/MisterBianco/BoopSuite/;A Suite of Tools written in Python for wireless auditing and security testing.;Attack;;;
bully;https://github.com/aanarchyy/bully/;New implementation of the WPS brute force attack, written in C;Attack;Encryption;WPS;
bunny;https://github.com/mothran/bunny/;Bunny is a wireless. meshing, darknet that uses 802.11 to hide its communications ;Misc;;;
cac;https://github.com/paulpatras/cac/;A Centralized Adaptive Control algorithm that optimises the performance of IEEE 802.11 WLANs ;Config;;;
Call-for-wpa3;https://github.com/d33tah/call-for-wpa3/;Call for WPA3 - what's wrong with WPA2 security and how to fix it;Info;;;
captiv8;https://github.com/wraith-wireless/captiv8/;Captive Portal Evasion Tool;Misc;;;
captiveportal;https://github.com/bendemott/captiveportal/;A captive portal that can be used on most linux distributions. ;Config;;;
cenarius;https://github.com/adelashraf/cenarius/;Cenarius tool for crack Wi-Fi , crack wpa-psk , crack wpa2-psk , crack wep , crack wps pin and crack hidden AP . cenarius psk crack;Attack;Encryption;WPA/WPA2;
chap2aleap;https://github.com/xiao106347/chap2asleap/;Work with asleap+genk;Attack;;;
cherry;https://github.com/axilirator/cherry/;Distributed WPA/WPA2 cracker;Attack;Encryption;WPA/WPA2;
cloudap;https://github.com/mengning/cloudap/;AP Manager in Cloud,AP Hardware on your side;Config;;;
CloudCrackInstaller;https://github.com/tjetzinger/CloudCrackInstaller/;Script which installs Crunch, Pyrit and Cowpatty on a running Amazon EC2 Cluster GPU Instance to crack WPA and WPA2 keys.;Attack;;;
como;https://github.com/JackieXie168/como/;CoMo is a passive monitoring system that supports arbitrary real time traffic queries;Monitoring;;;
Connect-wifi;https://github.com/mousam05/connect-wifi/;Dmenu based application for Linux that connects to the strongest open wireless network;Misc;;;
connme;https://github.com/kurokid/connme/;Client for Hostapd ;Config;;;
Cover-channel;https://github.com/abnarain/covert_channel/;Userland code for creating a covert channel in wireless broadcast medium;Misc;;;
Cowpatty;http://www.willhackforsushi.com/?page_id=50/;Offline dictionary attack against WPA/WPA2 networks using PSK-based authentication (e.g. WPA-Personal);Attack;Encryption;WPA/WPA2;
crda;https://github.com/mcgrof/crda/;Central Regulatory Domain Agent;Config;;;
create_ap;https://github.com/oblique/create_ap/;This script creates a NATed or Bridged WiFi Access Point. ;Config;;;
Crippled;https://github.com/Konsole512/Crippled/;WPA/WPA2 Belkin.XXXX, Belkin_XXXXXX, belkin.xxx and belkin.xxxx router default key generator.;Attack;;;
cupid;https://github.com/lgrangeia/cupid/;Patch for hostapd and wpa_supplicant to attempt to exploit heartbleed on EAP-PEAP/TLS/TTLS connections;Attack;RogueAP;;
darm;https://github.com/eldraco/darm/;Intelligent network sniffer for the masses;Attack;Sniff;;
datasamalen;https://github.com/4ZM/datasamalen/;Pick up wifi-probe requests;Attack;Sniff;;
DeSniffer;https://github.com/wirelesshack/DeSniffer/;802.11 wireless sniffer;Attack;Sniff;;
disable-802.11b-snmp;https://github.com/claymichaels/disable-802.11b-snmp/;A tool to set 802.11 protocols on thousands of Access Points with SNMP.;Config;;;
disassociatedWiFi;https://github.com/bradleykirwan/disassociatedWiFi/;DisassociatedWiFi creates a virtual network interface (using the Linux TUN/TAP device driver) which sends and receives ethernet frames over an 802.11 (WiFi) interface, that has been placed in monitor mode, and supports packet injection.;Misc;;;
Do-wifi;https://github.com/ealexeev/do-wifi/;Command line tool for scanning and connecting to wifi networks in Linux. ;Config;;;
Dot11Attacker;https://github.com/haknmcaobin/Dot11Attacker/;Attack from 802.11 RTS/CTS flood;Attack;Dos;;
dot11decrypt;https://github.com/mfontanini/dot11decrypt/;An 802.11 WEP/WPA2 on-the-fly decrypter. ;Attack;Encryption;WPA/WPA2;
dot11er;https://github.com/timow/dot11er/;Some tools for playing with IEEE802.11;Lib;;;
dot11sniffer;https://github.com/DepthDeluxe/dot11sniffer/;Sniffs 802.11 traffic and counts the number of active wireless devices in an area;Attack;Sniff;;
dw;https://github.com/ndyakov/dw/;Small tool for sending 802.11 disassociation and deauthentication packets to specific clients. ;Attack;DoS;;
eap_detect;https://github.com/rafikMeg/eap_detect/;A simple script using the python library Scapy to detect the 802.1X authentication mechanism;Attack;Sniff;;
eapeak;https://github.com/securestate/eapeak/;Analysis Suite For EAP Enabled Wireless Networks;Attack;;;
eapmd5pass;http://www.willhackforsushi.com/?page_id=67;An implementation of an offline dictionary attack against the EAP-MD5 protocol. This utility can be used to audit passwords used for EAP-MD5 networks from wireless packet captures, or by manually specifying the challenge, response and associated authentication information.;Attack;Encryption;;
Easy-creds;https://github.com/brav0hax/easy-creds/;Leverages tools for stealing credentials during a pen test;Attack;;;
Eicrog;https://github.com/nosmo/Eircog/;WEP key generator for predictable key weaknesses;Attack;Encryption;WEP;
EvilAP_Defender;https://github.com/moha99sa/EvilAP_Defender/;Protect your Wireless Network from Evil Access Points;Defend;;;
FakeAP;https://github.com/DanMcInerney/fakeAP/;Create fake AP in Kali with 1 command ;Attack;RogueAP;;
fakeaps;https://github.com/0x90/wifi-arsenal/blob/master/fakeaps.c/;Fake Access Points using Atheros wireless cards in Linux;Attack;RogueAP;;
Fern-wifi-cracker;https://github.com/savio-code/fern-wifi-cracker/;Crack and recover WEP/WPA/WPS keys and also run other network based attacks on wireless or ethernet based networks;Attack;Encryption;WPA/WPA2;
FFT_eval;https://github.com/simonwunderlich/FFT_eval/;Aid open source spectrum analyzer development for Qualcomm/Atheros AR92xx and AR93xx based chipsets;Misc;;;
Find-lf;https://github.com/schollz/find-lf/;Track the location of every Wi-Fi device (📱) in your house using Raspberry Pis and FIND;Location;;;
fluxion;https://github.com/FluxionNetwork/fluxion/;Fluxion is the future of MITM WPA attacks;Attack;RogueAP;;
Frame-randomizer;https://github.com/mike-albano/frame-randomizer/;Capture and randomize 802.11 Association Request frames;Misc;;;
Frame-utils.js;https://github.com/rhodey/frame-utils.js/;A collection of utilities for processing streams of 80211 frames and radiotap headers.;Lib;;;
FreeWifi;https://github.com/kylemcdonald/FreeWifi/;How to get free wifi;Misc;;;
FruityWiFi;https://github.com/xtr4nge/FruityWifi/;Wireless network auditing tool;Attack;;;
full_permissive_unlock_ath;https://github.com/doom5/ath9k_ath5k_full_permissive_unlock_all_channels.patch/;This kernel patch enable all 2GHZ & 5GHZ channels (without restriction) for ath9k & ath5k forced to use buildin world regulatory;Config;;;
FuzzAP;https://github.com/lostincynicism/FuzzAP/;A python script for obfuscating wireless networks;Attack;RogueAP;;
FWAP;https://github.com/szehl/FWAP/;Minimal, very lightweight access point implementation;Config;;;
geowifi;https://github.com/yzfedora/geowifi/;This is a Geographic WiFi Positioning program written under the Linux.(it is also a WiFi Positioning API written for C language;Location;;;
Get-rssi;https://github.com/h3pr5tq/get-rssi/;Linux utility for getting RSSI WiFi of APs to text file. Using Monitor mode, libpcap.;InfoGath;;;
Gopacket-80211;https://github.com/dutchcoders/gopacket-80211/;Extra gopacket layers for Radiotap and 802.11 (has been integrated in Gopacket) ;Lib;;;
GrapplingHook;https://github.com/nikseetharaman/GrapplingHook/;Open Source 802.11 Direction Finder;Location;;;
greaver;https://github.com/sigginet/greaver/;GUI for Reaver, WPS brute force tool;Attack;Encryption;WPS;
gtaiad;https://github.com/jedivind/gtaiad/;Indoor Wi-Fi navigation prototype using triangulation;Location;;;
Haiku-wifi;https://github.com/jedahan/haiku-wifi/;Turn your wireless router's extra radios into a public billboard!;Misc;;;
haircrack;https://github.com/AdamKnube/haircrack/;Automated aircrack/reaver/pyrit (An interface for aircrack/reaver/pyrit written in python. The interface itself may never get finished.);Attack;Encryption;;
handshakeharvest;https://github.com/0x90/wifi-arsenal/blob/master/handshakeharvest-K1-K2-K2016-4-0.sh/;;Attack;Sniff;;
HandShaker;https://github.com/d4rkcat/HandShaker/;Detect, capture, crack WPA/2 handshakes, WEP Keys and geotag with Android GPS;Attack;Encryption;WPA/WPA2;
hcxtools;https://github.com/ZerBea/hcxtools/;Solution for capturing wlan traffic and conversion to hashcat formats (recommended by hashcat) and to John the Ripper;Attack;Encryption;WPA/WPA2;
Hijacker;https://github.com/chrisk44/Hijacker/;Aircrack, Airodump, Aireplay, MDK3 and Reaver GUI Application for Android;Attack;;;
horst;https://github.com/br101/horst/;Lightweight IEEE802.11 wireless LAN analyzer with a text interface. Its basic function is similar to tcpdump, Wireshark or Kismet, but it's much smaller and shows different, aggregated information which is not easily available from other tools.;Monitoring;;;
hostapd;https://w1.fi/hostapd/;User space daemon for access point and authentication servers;Config;;;
hostapd;https://github.com/nims11/hostapd.py/;Python script to make using and configuring hostapd easier ;Config;;;
Hostapd-karma;https://github.com/xtr4nge/hostapd-karma/;DigiNinja patches to hostapd for rogue access points. ;Attack;RogueAP;;
Hostapd-mana;https://github.com/adde88/hostapd-mana/;Hostapd-mana for the 6.th gen. Wifi Pineapple, and OpenWRT;Config;;;
hostapd-mana-openwrt;https://github.com/adde88/hostapd-mana-openwrt/;Hostapd-mana - build-files, and installation-files for OpenWRT;Config;;;
Hostapd-with-WebID;https://github.com/yunus/Hostapd-with-WebID/;WebID integrated hostapd;Config;;;
Hostapd-wpe;https://github.com/OpenSecurityResearch/hostapd-wpe/;Modified hostapd to facilitate AP impersonation attacks ;Attack;RogueAP;;
Hostapd-wpe-extended;https://github.com/NerdyProjects/hostapd-wpe-extended/;Modification and tools for using hostapd for rogue AP attacks impersonating WPA-Enterprise networks to steal user credentials;Attack;RogueAP;;
Hostapd-wpe-openwrt;https://github.com/TarlogicSecurity/hostapd-wpe-openwrt/;Hostapd-wpe (Wireless Pwnage Edition) packages for OpenWRT Barrier Breaker 14.07 ;Config;;;
hotspotd;https://github.com/prahladyeri/hotspotd/;Simple daemon to create a wifi hotspot on Linux;Config;;;
HT-WPS-Breaker;https://github.com/SilentGhostX/HT-WPS-Breaker/;HT-WPS Breaker (High Touch WPS Breaker);Attack;Encryption;WPS;
huawei_wifi;https://github.com/davux/huawei_wifi/;Wifi utilities for finding Huawei routers' default key;Attack;Encryption;WEP;
huntpineapples;https://github.com/0x90/wifi-arsenal/tree/master/huntpineapples/;WiFi Pineapple hunter from DC23;Defend;;;
hwk;https://github.com/0x90/wifi-arsenal/tree/master/hwk/;Hwk is a collection of packet crafting/network flooding tools;Attack;DoS;;
IEEE802.11-complete;https://github.com/UtkMSNL/IEEE802.11-complete/;IEEE802.11 protocol, including PHY, MAC, and rate adaptation approaches upon GNURadio/USRP software-defined radio platform;Config;;;
Iitis-generator;https://github.com/iitis/iitis-generator/;Software for distributed statistical evaluation of IEEE 802.11 wireless networks using Linux mac80211 packet injection facility;Attack;Injection;;
IKECrack;http://ikecrack.sourceforge.net/;IKE/IPSec authentication crack tool. This tool is designed to bruteforce or dictionary attack the key/password used with Pre-Shared-Key [PSK] IKE authentication.;Attack;Encryption;;
IndoorPositionr;https://github.com/otherview/IndoorPositionr/;Indoor positioning using Android to provide the surrounding Access Points signals and guess the position;InfoGath;;;
Isniff-GPS;https://github.com/hubert3/iSniff-GPS/;Passive sniffing tool for capturing and visualising WiFi location data disclosed by iOS devices;InfoGath;;;
itamae;https://github.com/wraith-wireless/itamae/;802.11 radiotap and MPDU parser ;Lib;;;
JamWiFi;https://github.com/unixpickle/JamWiFi/;A GUI, easy to use WiFi network jammer for Mac OS X;Attack;DoS;;
karma;https://github.com/atimorin/karma/;KARMA Attacks Radioed Machines Automatically (KARMA);Attack;RogueAP;;Note
killosx;https://github.com/d4rkcat/killosx/;Use the Apple CoreText exploit (CVE-2012-3716) and launch an AP to affect all devices within wifi range ;Attack;;;
KisMac2;https://github.com/IGRSoft/KisMac2/;Free, open source wireless stumbling and security tool for Mac OS X;Defend;;;
kismet;https://github.com/kismetwireless/kismet/;Wireless network detector, sniffer, and intrusion detection system;Defend;;;Note
kismet-deauth-wpa2-handshake-plugin;https://github.com/ph4r05/kismet-deauth-wpa2-handshake-plugin/;Python plugin for Kismet to perform deauthentication to collect WPA2 handshakes;Attack;Encryption;WPA/WPA2;
Kismet-to-KML;https://github.com/exp/Kismet-to-KML/;Converts kismet gps log files into kml files;Misc;;;
kismet2earth;https://code.google.com/archive/p/kismet2earth/;Set of utilities that convert from Kismet logs to Google Earth .kml format;Misc;;;
kismetclient;https://github.com/PaulMcMillan/kismetclient/;A Python client for the Kismet server protocol;Defend;;;
kismeth2earth;https://github.com/andreagrandi/kismeth2earth/;Parsing Kismet logs to get collected data from wireless networks and generate a Google Earth map;Misc;;;
kismon;https://github.com/Kismon/kismon/;A GUI client for kismet;Defend;;;
Known manufacturer MAC list;https://code.wireshark.org/review/gitweb?p=wireshark.git&a=blob_plain&f=manuf;;Info;;;
LANs.py;https://github.com/DanMcInerney/LANs.py/;Inject code, jam wifi, and spy on wifi users;Attack;;;
Libairpcap-nl;https://github.com/hbock/libairpcap-nl/;Implementation of AirPcap library, targetting the NL80211 protocol. ;Lib;;;
liber80211;https://github.com/brycethomas/liber80211/;802.11 monitor mode for Android without root;Attack;Sniff;;
libfcap;https://github.com/teddyyy/libfcap/;Library for manipulate 802.11 frame in monitor mode;Attack;Injection;;
libmoep;https://github.com/0x90/wifi-arsenal/tree/master/libmoep-1.1/;Allows for frame injection on monitor mode devices with per-frame radiotap options such as TX rate / MCS index and RTS/CTS protection;Attack;Injection;;
libpcap-80211-c;https://github.com/weaknetlabs/libpcap-80211-c/;Sniffs on a RFMON-enabled device for a beacon when compiled, linked and loaded;Attack;Sniff;;
libuwifi;https://github.com/br101/libuwifi/;C library for parsing, generating and analyzing Wifi (WLAN 802.11) frames in userspace and related functions;Lib;;;
Linux-wifi-tools;https://github.com/R2dR/linux-wifi-tools/;A set of Linux command line tools for managing and troubleshooting wifi;Config;;;
lorcon;https://code.google.com/archive/p/lorcon/;A common injection and control library for wireless packet crafting;Attack;Injection;;
Lorcon-examples;https://github.com/OpenSecurityResearch/lorcon_examples/;Various examples and patches for LORCON;Attack;Injection;;
lrc;https://github.com/0x0d/lrc/;Fast Wi-Fi hijacker in C, based on AirPwn ideas and LORCON;Attack;Injection;;
Mac-analyzer;https://github.com/abnarain/mac-analyzer/;Collects cross layer stats from ath9k ;Misc;;;
mac80211-user;https://github.com/chillancezen/mac80211-user/;Intercept 80211 data frame and put it into userspace;Attack;Sniff;;
Madwifi-be;https://github.com/paulpatras/madwifi-be/;Modified version of the madwifi driver allowing update of WME parameters for the BE access category;Misc;;;
Madwifi-hopping;https://github.com/paulpatras/madwifi-hopping/;Modified version of the Madwifi WLAN driver, that employs power-hopping for packet transmission;Misc;;;
make-a-new-mac80211-to-wirelessAP;https://github.com/fhector/make-a-new-mac80211-to-wirelessAP/;;Misc;;;
mana;https://github.com/sensepost/mana/;Our mana toolkit for wifi rogue AP attacks and MitM ;Attack;RogueAP;;
MappingWirelessNetworks;https://github.com/jeffThompson/MappingWirelessNetworks/;Code, data, and (possibly) schematics for recording wireless network data around a city;Attack;Wardriving;;
marfil;https://github.com/pupi1985/marfil/;Assess WiFi network security. It allows to split the work of performing long running dictionary attacks among many computers;Attack;Encryption;WPA/WPA2;
Mass-deauth;https://github.com/Andy-Maclachlan/mass-deauth/;A script for 802.11 mass-deauthentication;Attack;DoS;;
Mass-deauth-attack;https://github.com/shunghsiyu/mass-deauth-attack/;A program that does Deauthentication Attack on every nearby wireless device;Attack;DoS;;
mdk3_6.1;https://github.com/ytisf/mdk3_6.1/;A fork and modification of the original MDK3 ;Attack;DoS;;Note
milicone;https://github.com/jazoza/milicone/;Investigating interaction with wireless communication traffic;Attack;Sniff;;
Mitm-helper-wifi;https://github.com/jakev/mitm-helper-wifi/;Make it easy and straight-forward to configure a Ubuntu virtual machine to act as a WiFi access point (AP);Attack;RogueAP;;
Mitm-rogue-WiFi-AP;https://github.com/wshen0123/mitm-rogue-WiFi-AP/;MITM Attack Example Code with Rogue Wi-Fi AP;Attack;RogueAP;;
mitmAP;https://github.com/xdavidhu/mitmAP/;A python program to create a fake AP and sniff data;Attack;RogueAP;;
modwifi;https://github.com/vanhoefm/modwifi/;Advanced Wi-Fi Attacks Using Commodity Hardware;Attack;DoS;;
Modwifi-tools;https://github.com/vanhoefm/modwifi-tools/;;;;;
moepdefend;https://github.com/moepinet/moepdefend/;Example monitoring/injection tool based on libmoep;Attack;Injection;;
monmob;https://github.com/tuter/monmob/;Set of tools to provide monitor mode and raw frame injection for devices using broadcom chipsets bcm4325, bcm4329 and bcm4330;Config;;;
Mr-nosy;https://github.com/jgumbley/mr-nosy/;Liked to know about everything that was going on;Attack;Sniff;;
mupe;https://github.com/DE-IBH/mupe/;MUltiPath Estimator - Create statistical analysis of 802.11 Radiotap sniffs;Attack;Sniff;;
Naive-project;https://github.com/veenfang/naive_project/;;Attack;Sniff;;
Native-WiFi-API-Beacon-Sniffer ;https://github.com/6e726d/Native-WiFi-API-Beacon-Sniffer/;Tool that dumps beacon frames to a pcap file. Works on Windows Vista or Later with any Wireless Card;Attack;Sniff;;
netattack;https://github.com/chrizator/netattack/;Python script that allows you to scan your local area for WiFi Networks and perform deauthentification attacks;Attack;DoS;;
netxml2kml;http://www.salecker.org/software/netxml2kml.html/;Converts netxml files from Kismet Newcore into KML or KMZ files for Google Earth;Misc;;;
nexmon;https://github.com/seemoo-lab/nexmon/;The C-based Firmware Patching Framework for Broadcom/Cypress WiFi Chips that enables Monitor Mode, Frame Injection and much more;Config;;;
Null-packet-wifi-promt;https://bitbucket.org/edkeeble/null-packet-wifi-prompt/;Simple script to prompt responses from wireless devices with a known MAC address;Attack;;;
oculus;https://github.com/abnarain/oculus/;Lightweight tool to collect traces from wifi;Attack;Sniff;;
ofxSniffer;https://github.com/HalfdanJ/ofxSniffer/;Wrapper for the libtins library. Libtins can be used to sniff network packages, or to generate network pacakages yourself.;Attack;Sniff;;
OpenCAPWAP;https://github.com/vollero/openCAPWAP/;Open source implementation of the CAPWAP protocol according to RFC 4515 and RFC 4516;;;;
openrtls;https://github.com/konker/openrtls/;;Attack;RogueAP;;
Openwifimap-api;https://github.com/freifunk/openwifimap-api/;OpenWiFiMap database and its api ;Location;;;
Openwips-ng;https://github.com/aircrack-ng/OpenWIPS-ng;Open source and modular Wireless IPS (Intrusion Prevention System);Defend;;;
Osx-wifi-scan;https://github.com/kornysietsma/osx-wifi-scan/;Hacky wifi signal scanner for osx ;Misc;;;
Osx-wificleaner;https://github.com/mubix/osx-wificleaner/;Cleans out open wireless connections from OSX machine ;Misc;;;
packetinjector;https://github.com/juzna/packet-injector/;Packet analyzer and injector, written in JavaScript;Attack;Injection;;
packetparser;https://github.com/flupzor/packetparser/;IEEE 802.11 packetparser;Lib;;;
packetvector;https://github.com/derosier/packetvector/;802.11 management packet injection tool based on packetspammer;Attack;Injection;;
parsecaps;https://github.com/sa7mon/parsecaps/;Parse wpa.cap generated from besside-ng and create individual .caps for each network with a captured handshake. ;Misc;;;
pcap2xml;https://github.com/securitytube/pcap2xml/;Convert 802.11 Packet Traces to XML and SQLITE Format ;Lib;;;
pcap80211analyzer;https://github.com/enukane/pcap80211analyzer/;Not-so-smart 802.11 frame pcapng analyzer ;Misc;;;
PCS;https://github.com/gvnn3/PCS/;Set of Python modules and objects that make building network protocol code easier for the protocol developer;Lib;;;
peapwn;https://github.com/rpp0/peapwn/;Proof-of-concept implementation of the Apple relay attack in Python ;Attack;Encryption;WPA/WPA2;
Penetrators-wps;https://github.com/dadas190/penetrator-wps/;Experimental tool that is capable of attacking multiple WPS-enabled wireless access points in real time.;Attack;Encryption;WPS;
phpreaver;https://github.com/phpreaver/phpreaver/;A command line PHP script which uses the reaver WPS pin cracker to test multiple AP's with multiple WiFi adapters.;Attack;Encryption;WPS;
phystats;https://github.com/ransford/phystats/;Gather & plot ieee80211 counters from Linux debugfs;Attack;Sniff;;
PiWAT;https://github.com/Crypt0s/PiWAT/;Wireless Attack Toolkit;Attack;;;
pixiewps;https://github.com/wiire-a/pixiewps/;An offline WPS brute-force utility ;Attack;Encryption;WPS;
Pixiewps-android;https://github.com/ru-faraon/pixiewps-android/;Pixiewps is a tool written in C used to bruteforce offline the WPS pin exploiting the low or non-existing entropy of some APs (pixie dust attack).;Attack;Encryption;WPS;
Platform-hostapd;https://github.com/experimental-platform/platform-hostapd/;Wireless access point for experimental-platform. ;Attack;RogueAP;;
probecap;https://github.com/hydrogen18/probecap/;A quick and dirty utility to capture and store WiFi probes.;Attack;Sniff;;
probemon;https://github.com/jjb3tee3/probemon/;Monitors 802.11 probe packets sent from roaming mobile devices. Developed using PyLorcon2. ;Attack;Sniff;;
probesniffer;https://github.com/xdavidhu/probeSniffer/;A tool for sniffing unencrypted wireless probe requests from devices;Attack;Sniff;;
